Complex_ID,Latitude,Longitude,MEAN_Median_Inc,SUM_Total_Popu,SUM_Male_Total,SUM_Female_Tot,SUM_White_Alon,SUM_Black_Alon,SUM_Hispanic_L,SUM_Non_Hispan
398,40.77362,-73.959874,134178.75,47275,20936,26339,40094,372,44312,2963
399,40.768141,-73.96387,177047.8889,44931,19397,25534,36445,576,41252,3679
403,40.746081,-73.982076,155538,48537,23030,25507,29953,2794,43228,5309
404,40.74307,-73.984264,183811,53878,26223,27655,34329,3474,48862,5016
405,40.739864,-73.986599,176921.1,60407,28990,31417,39826,4033,55036,5371
407,40.730054,-73.99107,172256.5385,59824,29542,30282,39944,2724,53912,5912
409,40.722301,-73.997141,132543.6667,35790,17696,18094,20300,1429,31361,4429
413,40.707557,-74.011862,154197.3333,53362,24756,28606,33567,2993,48759,4603
414,40.704817,-74.014065,171196.8,26386,13060,13326,17148,1096,24161,2225
416,40.903125,-73.85062,74399,17611,8685,8926,1052,11722,13798,3813
417,40.898379,-73.854376,80233,25182,12115,13067,3229,13147,17888,7294
418,40.893193,-73.857473,59540,31604,14908,16696,3776,16828,21590,10014
419,40.888022,-73.860341,50741.66667,29701,13983,15718,2466,17446,19591,10110
420,40.883895,-73.862633,52531.22222,29928,13609,16319,2267,17698,19612,10316
421,40.87785,-73.866256,48705.83333,32481,15760,16721,3369,13247,16469,16012
422,40.871356,-73.867164,56578.36364,26913,12837,14076,2178,12031,14173,12740
423,40.865462,-73.867352,46248.25,36548,17013,19535,6340,11832,18381,18167
424,40.857192,-73.867615,60196.63636,37686,17997,19689,9294,7824,18285,19401
425,40.848828,-73.868457,49237.875,21163,10551,10612,4523,4136,9619,11544
426,40.841894,-73.873488,39056.16667,18428,8945,9483,2211,4962,5388,13040
427,40.840295,-73.880049,29398.33333,29991,14230,15761,3309,12046,10147,19844
428,40.837288,-73.887734,31894,27089,13241,13848,2335,11071,10224,16865
429,40.829993,-73.891865,40777.22222,37275,17996,19279,2965,15664,14553,22722
430,40.824073,-73.893064,40796.45455,44859,21358,23501,3634,13459,12935,31924
431,40.822181,-73.896736,38044.75,54822,25318,29504,4511,16262,16282,38540
432,40.819585,-73.90177,36189.83333,62191,28443,33748,6198,18341,18300,43891
433,40.81649,-73.907807,34971.88889,38710,17767,20943,3793,12105,11098,27612
434,40.816109,-73.917757,23556.1,49651,22350,27301,6035,18823,17113,32538
436,40.82388,-73.93647,52668,61761,28622,33139,7678,31471,40979,20782
437,40.820421,-73.936245,55946.66667,60864,28208,32656,7100,37611,44754,16110
438,40.814229,-73.94077,56795.5,59236,27779,31457,8469,35378,45473,13763
439,40.807754,-73.945495,68204,45838,21538,24300,12275,21951,37688,8150
440,40.802098,-73.949625,62838.5,47849,23331,24518,11983,22969,37456,10393
441,40.799075,-73.951822,54880.11111,46607,22410,24197,10430,22042,34852,11755
442,40.8883,-73.830834,57318.4,19676,9247,10429,1164,13592,14764,4912
443,40.878663,-73.838591,72181.6,26829,12427,14402,1622,18982,20000,6829
444,40.869526,-73.846384,80676.55556,29119,13714,15405,3805,16554,20344,8775
445,40.858985,-73.855359,78686.85714,18830,9060,9770,7176,3141,12355,6475
446,40.854364,-73.860495,88223.71429,21830,10796,11034,7622,3031,12512,9318
447,40.7596,-73.83003,55145,34659,15689,18970,2661,1004,29897,4762
448,40.754622,-73.845625,0,0,0,0,0,0,0,0
449,40.75173,-73.855334,62035,29652,16476,13176,4339,1928,5953,23699
450,40.749865,-73.8627,76180.125,52306,27507,24799,7354,1545,7089,45217
451,40.749145,-73.869527,80754.0625,57214,30751,26463,7436,1283,12222,44992
452,40.748408,-73.876613,70405.29412,84737,44455,40282,14389,1433,30003,54734
453,40.747659,-73.883697,71959.25,66761,33849,32912,15953,1403,31118,35643
455,40.746325,-73.896403,72028.5,47444,23445,23999,12093,691,31593,15851
456,40.74563,-73.902984,80186.11111,36526,17431,19095,10579,435,23918,12608
457,40.744149,-73.912549,73614.18182,38210,18435,19775,15088,572,24016,14194
458,40.743132,-73.918435,76092.75,44571,22051,22520,18671,790,28274,16297
459,40.743781,-73.924016,69608.09091,30084,14901,15183,12928,781,20211,9873
460,40.744587,-73.930997,30642.125,8597,4690,3907,2658,715,5804,2793
461,40.750582,-73.940202,96361.33333,21442,10823,10619,6719,2868,17540,3902
463,40.742216,-73.948916,92075.4,9967,5548,4419,4852,714,8599,1368
464,40.742626,-73.953581,104426.2222,22349,11680,10669,11905,1030,19896,2453
471,40.755882,-74.00191,137175.8,17852,9529,8323,8809,1634,14983,2869
475,40.784318,-73.947152,101696,61717,27094,34623,28980,9710,46411,15306
476,40.777891,-73.951787,161366,83170,36581,46589,63711,3509,75237,7933
