ARREST_DATE,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,PERP_RACE,Latitude,Longitude,station_complex_id
12/30/2023,K,83,25-44,F,BLACK,40.69698630037214,-73.93522383122014,97.0
12/30/2023,K,83,45-64,M,BLACK,40.69698630037214,-73.93522383122014,97.0
12/30/2023,K,83,45-64,M,BLACK,40.69698630037214,-73.93522383122014,97.0
12/30/2023,Q,110,25-44,M,WHITE HISPANIC,40.74681219683057,-73.8917520418653,616.0
12/30/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0
12/30/2023,K,83,18-24,F,WHITE HISPANIC,40.69698630037214,-73.93522383122014,97.0
12/30/2023,B,40,25-44,M,BLACK,40.8133030743534,-73.93039618778353,391.0
12/29/2023,B,40,25-44,M,BLACK,40.81606683945181,-73.91764392674679,434.0
12/29/2023,B,48,25-44,M,BLACK HISPANIC,40.84023133456983,-73.88010010626483,427.0
12/29/2023,Q,110,25-44,M,WHITE HISPANIC,40.74664168277901,-73.89139142095587,616.0
12/29/2023,K,78,25-44,F,BLACK,40.68405249798437,-73.97745785403545,617.0
12/29/2023,K,83,25-44,M,BLACK,40.69698630037214,-73.93522383122014,97.0
12/29/2023,B,48,25-44,M,BLACK,40.84023133456983,-73.88010010626483,427.0
12/29/2023,B,48,45-64,M,WHITE HISPANIC,40.84023133456983,-73.88010010626483,427.0
12/29/2023,B,48,45-64,M,BLACK HISPANIC,40.84023133456983,-73.88010010626483,427.0
12/29/2023,K,83,25-44,M,BLACK,40.69698630037214,-73.93522383122014,97.0
12/28/2023,K,83,18-24,M,BLACK,40.69698630037214,-73.93522383122014,97.0
12/28/2023,B,41,25-44,M,WHITE HISPANIC,40.812125995016096,-73.90418129247784,373.0
12/28/2023,B,41,25-44,M,WHITE HISPANIC,40.812125995016096,-73.90418129247784,373.0
12/28/2023,B,40,45-64,M,WHITE HISPANIC,40.81606683945181,-73.91764392674679,434.0
12/28/2023,S,120,25-44,F,WHITE,40.643566,-74.074001,501.0
12/28/2023,B,44,25-44,M,WHITE,40.82781161940969,-73.92592932593037,604.0
12/27/2023,B,41,25-44,M,BLACK,40.82413799033059,-73.89294867750611,430.0
12/27/2023,B,40,25-44,M,BLACK,40.80755382044926,-73.91921496573,376.0
12/27/2023,K,78,25-44,F,BLACK,40.68405249798437,-73.97745785403545,617.0
12/27/2023,B,41,18-24,M,BLACK,40.82413799033059,-73.89294867750611,430.0
12/27/2023,M,14,25-44,M,WHITE,40.752001,-73.977392,610.0
12/27/2023,B,41,25-44,M,WHITE HISPANIC,40.82413799033059,-73.89294867750611,430.0
12/26/2023,K,78,25-44,M,BLACK,40.67035772942524,-73.98871321711381,608.0
12/26/2023,K,75,25-44,M,BLACK,40.674395964093016,-73.89650930396286,185.0
12/26/2023,B,41,25-44,M,BLACK,40.812125995016096,-73.90418129247784,373.0
12/26/2023,B,41,18-24,M,BLACK,40.812125995016096,-73.90418129247784,373.0
12/26/2023,S,120,18-24,F,BLACK HISPANIC,40.643566,-74.074001,501.0
12/26/2023,B,41,25-44,M,BLACK,40.812125995016096,-73.90418129247784,373.0
12/26/2023,K,66,25-44,M,WHITE HISPANIC,40.64059922620008,-73.9943321010444,60.0
