ARREST_DATE,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,PERP_RACE,Latitude_x,Longitude_x,station_complex_id,Latitude_y,Longitude_y,MEAN_Median_Inc,SUM_Total_Popu,SUM_Male_Total,SUM_Female_Tot,SUM_White_Alon,SUM_Black_Alon,SUM_Hispanic_L,SUM_Non_Hispan
12/30/2023,K,83,25-44,F,BLACK,40.69698630037214,-73.93522383122014,97.0,40.697207,-73.935657,74112.1,35389,16856,18533,9007,11449,21077,14312
12/30/2023,K,83,45-64,M,BLACK,40.69698630037214,-73.93522383122014,97.0,40.697207,-73.935657,74112.1,35389,16856,18533,9007,11449,21077,14312
12/30/2023,K,83,45-64,M,BLACK,40.69698630037214,-73.93522383122014,97.0,40.697207,-73.935657,74112.1,35389,16856,18533,9007,11449,21077,14312
12/30/2023,Q,110,25-44,M,WHITE HISPANIC,40.74681219683057,-73.8917520418653,616.0,40.746746,-73.891366,75433.0,61482,30841,30641,16282,1388,38934,22548
12/30/2023,B,44,25-44,M,BLACK,40.82781161940969,-73.92592932593037,604.0,40.8279495,-73.925741,48184.75,36512,17698,18814,5317,16733,18786,17726
12/30/2023,K,83,18-24,F,WHITE HISPANIC,40.69698630037214,-73.93522383122014,97.0,40.697207,-73.935657,74112.1,35389,16856,18533,9007,11449,21077,14312
12/30/2023,B,40,25-44,M,BLACK,40.8133030743534,-73.93039618778353,391.0,40.813224,-73.929849,38475.85714,37819,17376,20443,5880,15442,15837,21982
12/29/2023,B,40,25-44,M,BLACK,40.81606683945181,-73.91764392674679,434.0,40.816109,-73.917757,23556.1,49651,22350,27301,6035,18823,17113,32538
12/29/2023,B,48,25-44,M,BLACK HISPANIC,40.84023133456983,-73.88010010626483,427.0,40.840295,-73.880049,29398.33333,29991,14230,15761,3309,12046,10147,19844
12/29/2023,Q,110,25-44,M,WHITE HISPANIC,40.74664168277901,-73.89139142095587,616.0,40.746746,-73.891366,75433.0,61482,30841,30641,16282,1388,38934,22548
12/29/2023,K,78,25-44,F,BLACK,40.68405249798437,-73.97745785403545,617.0,40.68416167,-73.97778867,161011.8182,37731,17418,20313,18302,7499,31710,6021
12/29/2023,K,83,25-44,M,BLACK,40.69698630037214,-73.93522383122014,97.0,40.697207,-73.935657,74112.1,35389,16856,18533,9007,11449,21077,14312
12/29/2023,B,48,25-44,M,BLACK,40.84023133456983,-73.88010010626483,427.0,40.840295,-73.880049,29398.33333,29991,14230,15761,3309,12046,10147,19844
12/29/2023,B,48,45-64,M,WHITE HISPANIC,40.84023133456983,-73.88010010626483,427.0,40.840295,-73.880049,29398.33333,29991,14230,15761,3309,12046,10147,19844
12/29/2023,B,48,45-64,M,BLACK HISPANIC,40.84023133456983,-73.88010010626483,427.0,40.840295,-73.880049,29398.33333,29991,14230,15761,3309,12046,10147,19844
12/29/2023,K,83,25-44,M,BLACK,40.69698630037214,-73.93522383122014,97.0,40.697207,-73.935657,74112.1,35389,16856,18533,9007,11449,21077,14312
12/28/2023,K,83,18-24,M,BLACK,40.69698630037214,-73.93522383122014,97.0,40.697207,-73.935657,74112.1,35389,16856,18533,9007,11449,21077,14312
12/28/2023,B,41,25-44,M,WHITE HISPANIC,40.812125995016096,-73.90418129247784,373.0,40.812118,-73.904098,28099.2,34062,15948,18114,2745,11233,10368,23694
12/28/2023,B,41,25-44,M,WHITE HISPANIC,40.812125995016096,-73.90418129247784,373.0,40.812118,-73.904098,28099.2,34062,15948,18114,2745,11233,10368,23694
12/28/2023,B,40,45-64,M,WHITE HISPANIC,40.81606683945181,-73.91764392674679,434.0,40.816109,-73.917757,23556.1,49651,22350,27301,6035,18823,17113,32538
12/28/2023,S,120,25-44,F,WHITE,40.643566,-74.074001,501.0,40.643748,-74.073643,67443.0,9394,4439,4955,3064,3812,6705,2689
12/28/2023,B,44,25-44,M,WHITE,40.82781161940969,-73.92592932593037,604.0,40.8279495,-73.925741,48184.75,36512,17698,18814,5317,16733,18786,17726
12/27/2023,B,41,25-44,M,BLACK,40.82413799033059,-73.89294867750611,430.0,40.824073,-73.893064,40796.45455,44859,21358,23501,3634,13459,12935,31924
12/27/2023,B,40,25-44,M,BLACK,40.80755382044926,-73.91921496573,376.0,40.807566,-73.91924,29054.1,41018,18790,22228,4561,12170,12031,28987
12/27/2023,K,78,25-44,F,BLACK,40.68405249798437,-73.97745785403545,617.0,40.68416167,-73.97778867,161011.8182,37731,17418,20313,18302,7499,31710,6021
12/27/2023,B,41,18-24,M,BLACK,40.82413799033059,-73.89294867750611,430.0,40.824073,-73.893064,40796.45455,44859,21358,23501,3634,13459,12935,31924
12/27/2023,M,14,25-44,M,WHITE,40.752001,-73.977392,610.0,40.751992,-73.97735933,126234.2222,35073,16174,18899,21221,1556,31864,3209
12/27/2023,B,41,25-44,M,WHITE HISPANIC,40.82413799033059,-73.89294867750611,430.0,40.824073,-73.893064,40796.45455,44859,21358,23501,3634,13459,12935,31924
12/26/2023,K,78,25-44,M,BLACK,40.67035772942524,-73.98871321711381,608.0,40.6705595,-73.9890405,137320.2222,20812,10549,10263,13341,1234,16536,4276
12/26/2023,K,75,25-44,M,BLACK,40.674395964093016,-73.89650930396286,185.0,40.674542,-73.896548,50113.625,22830,10891,11939,3183,10901,11588,11242
12/26/2023,B,41,25-44,M,BLACK,40.812125995016096,-73.90418129247784,373.0,40.812118,-73.904098,28099.2,34062,15948,18114,2745,11233,10368,23694
12/26/2023,B,41,18-24,M,BLACK,40.812125995016096,-73.90418129247784,373.0,40.812118,-73.904098,28099.2,34062,15948,18114,2745,11233,10368,23694
12/26/2023,S,120,18-24,F,BLACK HISPANIC,40.643566,-74.074001,501.0,40.643748,-74.073643,67443.0,9394,4439,4955,3064,3812,6705,2689
12/26/2023,B,41,25-44,M,BLACK,40.812125995016096,-73.90418129247784,373.0,40.812118,-73.904098,28099.2,34062,15948,18114,2745,11233,10368,23694
12/26/2023,K,66,25-44,M,WHITE HISPANIC,40.64059922620008,-73.9943321010444,60.0,40.640914,-73.994304,64194.72727,43490,22568,20922,23630,860,33567,9923
12/24/2023,Q,109,25-44,M,WHITE HISPANIC,40.759569525960025,-73.83013930521312,447.0,40.7596,-73.83003,55145.0,34659,15689,18970,2661,1004,29897,4762
12/23/2023,B,40,25-44,M,BLACK,40.81606683945181,-73.91764392674679,434.0,40.816109,-73.917757,23556.1,49651,22350,27301,6035,18823,17113,32538
12/23/2023,M,5,25-44,M,BLACK HISPANIC,40.72032113840748,-73.99404032468442,103.0,40.72028,-73.993915,89467.0,41428,20288,21140,18527,1902,36439,4989
12/23/2023,B,41,25-44,M,WHITE HISPANIC,40.812125995016096,-73.90418129247784,373.0,40.812118,-73.904098,28099.2,34062,15948,18114,2745,11233,10368,23694
