GEO_ID,NAME,Median_Income,NAME_sex,Total_Population,Male_Total,Female_Total,NAME_race,Race_Total,White_Alone,Black_Alone,NAME_hispanic,Ethnicity_Total,Hispanic_Latino,Non_Hispanic_Latino,GEOID
1400000US36005000100,Census Tract 1; Bronx County; New York,-,Census Tract 1; Bronx County; New York,3538,3259,279,Census Tract 1; Bronx County; New York,3538,1393,1610,Census Tract 1; Bronx County; New York,3538,2672,866,36005000100
1400000US36005000200,Census Tract 2; Bronx County; New York,121171,Census Tract 2; Bronx County; New York,5177,2647,2530,Census Tract 2; Bronx County; New York,5177,782,1671,Census Tract 2; Bronx County; New York,5177,1979,3198,36005000200
1400000US36005000400,Census Tract 4; Bronx County; New York,98242,Census Tract 4; Bronx County; New York,6481,3104,3377,Census Tract 4; Bronx County; New York,6481,532,2767,Census Tract 4; Bronx County; New York,6481,2998,3483,36005000400
1400000US36005001600,Census Tract 16; Bronx County; New York,42957,Census Tract 16; Bronx County; New York,6011,2676,3335,Census Tract 16; Bronx County; New York,6011,260,2357,Census Tract 16; Bronx County; New York,6011,2712,3299,36005001600
1400000US36005001901,Census Tract 19.01; Bronx County; New York,67361,Census Tract 19.01; Bronx County; New York,2401,1216,1185,Census Tract 19.01; Bronx County; New York,2401,513,1154,Census Tract 19.01; Bronx County; New York,2401,1316,1085,36005001901
1400000US36005001902,Census Tract 19.02; Bronx County; New York,76429,Census Tract 19.02; Bronx County; New York,1979,1098,881,Census Tract 19.02; Bronx County; New York,1979,115,423,Census Tract 19.02; Bronx County; New York,1979,1018,961,36005001902
1400000US36005001903,Census Tract 19.03; Bronx County; New York,-,Census Tract 19.03; Bronx County; New York,0,0,0,Census Tract 19.03; Bronx County; New York,0,0,0,Census Tract 19.03; Bronx County; New York,0,0,0,36005001903
1400000US36005001904,Census Tract 19.04; Bronx County; New York,-,Census Tract 19.04; Bronx County; New York,0,0,0,Census Tract 19.04; Bronx County; New York,0,0,0,Census Tract 19.04; Bronx County; New York,0,0,0,36005001904
1400000US36005002001,Census Tract 20.01; Bronx County; New York,23208,Census Tract 20.01; Bronx County; New York,4300,1648,2652,Census Tract 20.01; Bronx County; New York,4300,626,1775,Census Tract 20.01; Bronx County; New York,4300,2158,2142,36005002001
1400000US36005002002,Census Tract 20.02; Bronx County; New York,18029,Census Tract 20.02; Bronx County; New York,3689,2202,1487,Census Tract 20.02; Bronx County; New York,3689,596,1069,Census Tract 20.02; Bronx County; New York,3689,959,2730,36005002002
1400000US36005002300,Census Tract 23; Bronx County; New York,18750,Census Tract 23; Bronx County; New York,4527,2198,2329,Census Tract 23; Bronx County; New York,4527,456,1695,Census Tract 23; Bronx County; New York,4527,1348,3179,36005002300
1400000US36005002400,Census Tract 24; Bronx County; New York,-,Census Tract 24; Bronx County; New York,0,0,0,Census Tract 24; Bronx County; New York,0,0,0,Census Tract 24; Bronx County; New York,0,0,0,36005002400
