"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)",
"0400000US36","New York","84578","372",
"1500000US360010001001","Block Group 1; Census Tract 1; Albany County; New York","67875","22687",
"1500000US360010001002","Block Group 2; Census Tract 1; Albany County; New York","34766","10595",
"1500000US360010002011","Block Group 1; Census Tract 2.01; Albany County; New York","38995","16071",
"1500000US360010002012","Block Group 2; Census Tract 2.01; Albany County; New York","-","**",
"1500000US360010002013","Block Group 3; Census Tract 2.01; Albany County; New York","-","**",
"1500000US360010002021","Block Group 1; Census Tract 2.02; Albany County; New York","33737","20028",
"1500000US360010002022","Block Group 2; Census Tract 2.02; Albany County; New York","-","**",
"1500000US360010003011","Block Group 1; Census Tract 3.01; Albany County; New York","46918","11257",
"1500000US360010003012","Block Group 2; Census Tract 3.01; Albany County; New York","-","**",
"1500000US360010003021","Block Group 1; Census Tract 3.02; Albany County; New York","36886","19602",
"1500000US360010003022","Block Group 2; Census Tract 3.02; Albany County; New York","72061","31450",
"1500000US360010004011","Block Group 1; Census Tract 4.01; Albany County; New York","85852","12434",
"1500000US360010004031","Block Group 1; Census Tract 4.03; Albany County; New York","107981","28379",
"1500000US360010004032","Block Group 2; Census Tract 4.03; Albany County; New York","45298","32045",
"1500000US360010004033","Block Group 3; Census Tract 4.03; Albany County; New York","115710","30845",
"1500000US360010004034","Block Group 4; Census Tract 4.03; Albany County; New York","78241","56329",
"1500000US360010004041","Block Group 1; Census Tract 4.04; Albany County; New York","59274","30896",
"1500000US360010005011","Block Group 1; Census Tract 5.01; Albany County; New York","-","**",
"1500000US360010005012","Block Group 2; Census Tract 5.01; Albany County; New York","81667","60132",
"1500000US360010005013","Block Group 3; Census Tract 5.01; Albany County; New York","15809","9160",
"1500000US360010005014","Block Group 4; Census Tract 5.01; Albany County; New York","-","**",
"1500000US360010005021","Block Group 1; Census Tract 5.02; Albany County; New York","-","**",
"1500000US360010005022","Block Group 2; Census Tract 5.02; Albany County; New York","55475","11389",
"1500000US360010006001","Block Group 1; Census Tract 6; Albany County; New York","-","**",
"1500000US360010006002","Block Group 2; Census Tract 6; Albany County; New York","24567","9887",
"1500000US360010006003","Block Group 3; Census Tract 6; Albany County; New York","26345","8718",
"1500000US360010007001","Block Group 1; Census Tract 7; Albany County; New York","54109","13306",
"1500000US360010007002","Block Group 2; Census Tract 7; Albany County; New York","45625","13322",
"1500000US360010007003","Block Group 3; Census Tract 7; Albany County; New York","-","**",
"1500000US360010007004","Block Group 4; Census Tract 7; Albany County; New York","45172","18322",
"1500000US360010008001","Block Group 1; Census Tract 8; Albany County; New York","-","**",
"1500000US360010008002","Block Group 2; Census Tract 8; Albany County; New York","-","**",
"1500000US360010008003","Block Group 3; Census Tract 8; Albany County; New York","-","**",
"1500000US360010011001","Block Group 1; Census Tract 11; Albany County; New York","48898","11197",
"1500000US360010014001","Block Group 1; Census Tract 14; Albany County; New York","103125","47439",
"1500000US360010014002","Block Group 2; Census Tract 14; Albany County; New York","87137","32914",
"1500000US360010014003","Block Group 3; Census Tract 14; Albany County; New York","63004","52795",
"1500000US360010014004","Block Group 4; Census Tract 14; Albany County; New York","66104","18044",
"1500000US360010015001","Block Group 1; Census Tract 15; Albany County; New York","30966","20104",
"1500000US360010015002","Block Group 2; Census Tract 15; Albany County; New York","-","**",
"1500000US360010015003","Block Group 3; Census Tract 15; Albany County; New York","52109","33948",
"1500000US360010015004","Block Group 4; Census Tract 15; Albany County; New York","93920","84567",
"1500000US360010016001","Block Group 1; Census Tract 16; Albany County; New York","64179","19738",
"1500000US360010016002","Block Group 2; Census Tract 16; Albany County; New York","43618","16186",
"1500000US360010016003","Block Group 3; Census Tract 16; Albany County; New York","59861","21612",
"1500000US360010016004","Block Group 4; Census Tract 16; Albany County; New York","97517","39080",
"1500000US360010017001","Block Group 1; Census Tract 17; Albany County; New York","131250","40095",
"1500000US360010017002","Block Group 2; Census Tract 17; Albany County; New York","71154","43776",
"1500000US360010017003","Block Group 3; Census Tract 17; Albany County; New York","85722","20195",
"1500000US360010018021","Block Group 1; Census Tract 18.02; Albany County; New York","66902","18714",
"1500000US360010018022","Block Group 2; Census Tract 18.02; Albany County; New York","54412","20160",
"1500000US360010018023","Block Group 3; Census Tract 18.02; Albany County; New York","117534","43106",
"1500000US360010018031","Block Group 1; Census Tract 18.03; Albany County; New York","-","**",
"1500000US360010018032","Block Group 2; Census Tract 18.03; Albany County; New York","90338","35578",
"1500000US360010018033","Block Group 3; Census Tract 18.03; Albany County; New York","119900","22631",
"1500000US360010018041","Block Group 1; Census Tract 18.04; Albany County; New York","101250","18827",
"1500000US360010018042","Block Group 2; Census Tract 18.04; Albany County; New York","108750","35980",
"1500000US360010018043","Block Group 3; Census Tract 18.04; Albany County; New York","103281","33639",
"1500000US360010019011","Block Group 1; Census Tract 19.01; Albany County; New York","84286","25288",
"1500000US360010019012","Block Group 2; Census Tract 19.01; Albany County; New York","111375","36500",
"1500000US360010019021","Block Group 1; Census Tract 19.02; Albany County; New York","101750","37984",
"1500000US360010019022","Block Group 2; Census Tract 19.02; Albany County; New York","123314","22162",
"1500000US360010019023","Block Group 3; Census Tract 19.02; Albany County; New York","79135","43498",
"1500000US360010020001","Block Group 1; Census Tract 20; Albany County; New York","73438","47427",
"1500000US360010020002","Block Group 2; Census Tract 20; Albany County; New York","58463","18040",
"1500000US360010020003","Block Group 3; Census Tract 20; Albany County; New York","55107","44062",
"1500000US360010020004","Block Group 4; Census Tract 20; Albany County; New York","100521","55601",
"1500000US360010020005","Block Group 5; Census Tract 20; Albany County; New York","82371","20825",
"1500000US360010021001","Block Group 1; Census Tract 21; Albany County; New York","39631","26271",
"1500000US360010021002","Block Group 2; Census Tract 21; Albany County; New York","107153","13877",
"1500000US360010021003","Block Group 3; Census Tract 21; Albany County; New York","-","**",
"1500000US360010022001","Block Group 1; Census Tract 22; Albany County; New York","52981","18813",
"1500000US360010022002","Block Group 2; Census Tract 22; Albany County; New York","43397","6938",
"1500000US360010023001","Block Group 1; Census Tract 23; Albany County; New York","31372","7256",
"1500000US360010023002","Block Group 2; Census Tract 23; Albany County; New York","53474","9858",
"1500000US360010025001","Block Group 1; Census Tract 25; Albany County; New York","-","**",
"1500000US360010025002","Block Group 2; Census Tract 25; Albany County; New York","73378","66953",
"1500000US360010025003","Block Group 3; Census Tract 25; Albany County; New York","43542","10264",
"1500000US360010025004","Block Group 4; Census Tract 25; Albany County; New York","24762","17081",
"1500000US360010026001","Block Group 1; Census Tract 26; Albany County; New York","88494","25067",
"1500000US360010026002","Block Group 2; Census Tract 26; Albany County; New York","66779","17893",
"1500000US360010026003","Block Group 3; Census Tract 26; Albany County; New York","58977","45441",
"1500000US360010026004","Block Group 4; Census Tract 26; Albany County; New York","-","**",
"1500000US360010127001","Block Group 1; Census Tract 127; Albany County; New York","78702","17903",
"1500000US360010127002","Block Group 2; Census Tract 127; Albany County; New York","72596","57358",
"1500000US360010127003","Block Group 3; Census Tract 127; Albany County; New York","65152","18570",
"1500000US360010128001","Block Group 1; Census Tract 128; Albany County; New York","11930","4325",
"1500000US360010128002","Block Group 2; Census Tract 128; Albany County; New York","-","**",
"1500000US360010128003","Block Group 3; Census Tract 128; Albany County; New York","46932","11881",
"1500000US360010128004","Block Group 4; Census Tract 128; Albany County; New York","27125","25806",
"1500000US360010129001","Block Group 1; Census Tract 129; Albany County; New York","66578","20524",
"1500000US360010129002","Block Group 2; Census Tract 129; Albany County; New York","30946","4216",
"1500000US360010129003","Block Group 3; Census Tract 129; Albany County; New York","-","**",
"1500000US360010129004","Block Group 4; Census Tract 129; Albany County; New York","63114","2084",
"1500000US360010130001","Block Group 1; Census Tract 130; Albany County; New York","104625","43460",
"1500000US360010130002","Block Group 2; Census Tract 130; Albany County; New York","51833","16033",
"1500000US360010130003","Block Group 3; Census Tract 130; Albany County; New York","64410","39161",
"1500000US360010130004","Block Group 4; Census Tract 130; Albany County; New York","104022","18288",
"1500000US360010130005","Block Group 5; Census Tract 130; Albany County; New York","82738","32042",
"1500000US360010131001","Block Group 1; Census Tract 131; Albany County; New York","90169","10591",
"1500000US360010131002","Block Group 2; Census Tract 131; Albany County; New York","59750","23145",
"1500000US360010131003","Block Group 3; Census Tract 131; Albany County; New York","47159","39636",
"1500000US360010132001","Block Group 1; Census Tract 132; Albany County; New York","59708","38290",
"1500000US360010132002","Block Group 2; Census Tract 132; Albany County; New York","-","**",
"1500000US360010132003","Block Group 3; Census Tract 132; Albany County; New York","52770","20376",
"1500000US360010133001","Block Group 1; Census Tract 133; Albany County; New York","55271","17444",
"1500000US360010133002","Block Group 2; Census Tract 133; Albany County; New York","-","**",
"1500000US360010133003","Block Group 3; Census Tract 133; Albany County; New York","-","**",
"1500000US360010134001","Block Group 1; Census Tract 134; Albany County; New York","91548","50979",
"1500000US360010134002","Block Group 2; Census Tract 134; Albany County; New York","69726","40175",
"1500000US360010134003","Block Group 3; Census Tract 134; Albany County; New York","73627","16561",
"1500000US360010135031","Block Group 1; Census Tract 135.03; Albany County; New York","125060","55458",
"1500000US360010135032","Block Group 2; Census Tract 135.03; Albany County; New York","121136","29456",
"1500000US360010135033","Block Group 3; Census Tract 135.03; Albany County; New York","98180","52889",
"1500000US360010135051","Block Group 1; Census Tract 135.05; Albany County; New York","93982","1579",
"1500000US360010135052","Block Group 2; Census Tract 135.05; Albany County; New York","88676","24452",
"1500000US360010135071","Block Group 1; Census Tract 135.07; Albany County; New York","77546","21178",
"1500000US360010135072","Block Group 2; Census Tract 135.07; Albany County; New York","106737","10288",
"1500000US360010135091","Block Group 1; Census Tract 135.09; Albany County; New York","76696","8265",
"1500000US360010135092","Block Group 2; Census Tract 135.09; Albany County; New York","96168","36978",
"1500000US360010135101","Block Group 1; Census Tract 135.10; Albany County; New York","107847","30070",
"1500000US360010135102","Block Group 2; Census Tract 135.10; Albany County; New York","88839","23897",
"1500000US360010135111","Block Group 1; Census Tract 135.11; Albany County; New York","143480","17892",
"1500000US360010135112","Block Group 2; Census Tract 135.11; Albany County; New York","86630","25010",
"1500000US360010135121","Block Group 1; Census Tract 135.12; Albany County; New York","106136","27490",
"1500000US360010135122","Block Group 2; Census Tract 135.12; Albany County; New York","135145","16080",
"1500000US360010136021","Block Group 1; Census Tract 136.02; Albany County; New York","85719","18466",
